,trade_id,date,action,price,shares,value,entry_price,stop_loss,targets,pnl
0,1,2022-01-03,ENTRY,4796.56005859375,5.212068585529078,25000.0,4796.56005859375,4690.966283690179,"[5563.88741378953, 5947.5510913874205, 6331.214768985311]",0.0
1,1,2022-01-07,STOP,4677.02978515625,-5.212068585529078,24377.000016796705,,,,-622.9999832032945
2,2,2022-01-10,ENTRY,4670.2900390625,5.3529866005963145,25000.0,4670.2900390625,4567.476032963359,"[5399.2988645703435, 5763.803277324266, 6128.307690078188]",0.0
3,2,2022-01-19,STOP,4532.759765625,-5.3529866005963145,24263.802289112715,,,,-736.1977108872848
4,3,2022-01-20,ENTRY,4482.72998046875,5.576958707958092,25000.0,4482.72998046875,4384.04501150583,"[5158.114363330118, 5495.806554760803, 5833.498746191487]",0.0
5,3,2022-01-25,STOP,4356.4501953125,-5.576958707958092,24295.742852533775,,,,-704.2571474662254
6,4,2022-01-26,ENTRY,4349.93017578125,5.7472186885183705,25000.0,4349.93017578125,4254.168725446703,"[4991.805899085274, 5312.743760737286, 5633.681622389298]",0.0
7,4,2022-02-23,STOP,4225.5,-5.7472186885183705,24284.872568334373,,,,-715.127431665626
8,5,2022-02-24,ENTRY,4288.7001953125,5.829272008177376,25000.0,4288.7001953125,4194.286691151041,"[4854.988204407975, 5138.1322089557125, 5421.27621350345]",0.0
9,5,2022-03-08,STOP,4170.7001953125,-5.829272008177376,24312.14590303507,,,,-687.8540969649304
10,6,2022-03-09,ENTRY,4277.8798828125,5.844016355027646,25000.0,4277.8798828125,4183.704582202869,"[4812.866039479474, 5080.35911781296, 5347.852196146447]",0.0
11,6,2022-03-14,STOP,4173.10986328125,-5.844016355027646,24387.72229234281,,,,-612.277707657191
12,7,2022-03-15,ENTRY,4262.4501953125,5.865171170209329,25000.0,4262.4501953125,4168.614571247894,"[4782.277681716087, 5042.19142491788, 5302.105168119673]",0.0
13,7,2022-04-29,STOP,4131.93017578125,-5.865171170209329,24234.477744310156,,,,-765.5222556898461
14,8,2022-05-02,ENTRY,4155.3798828125,6.016297114833016,25000.0,4155.3798828125,4063.90135598818,"[4555.751436081627, 4755.937212716191, 4956.122989350755]",0.0
15,8,2022-05-09,STOP,3991.239990234375,-6.016297114833016,24012.485637853224,,,,-987.5143621467746
16,9,2022-05-10,ENTRY,4001.050048828125,6.248359729297137,25000.0,4001.050048828125,3912.9690130289523,"[4367.925249088788, 4551.362849219119, 4734.800449349451]",0.0
17,9,2022-05-19,STOP,3900.7900390625,-6.248359729297137,24373.539392521532,,,,-626.460607478469
18,10,2022-05-20,ENTRY,3901.360107421875,6.408021641591215,25000.0,3901.360107421875,3815.473693832038,"[4234.87753627046, 4401.636250694754, 4568.394965119047]",0.0
19,10,2022-06-13,STOP,3749.6298828125,-6.408021641591215,24027.70943701963,,,,-972.2905629803709
20,11,2022-06-14,ENTRY,3735.47998046875,6.692580372727055,25000.0,3735.47998046875,3653.24533159623,"[4008.442597279477, 4144.92390568484, 4281.405214090204]",0.0
21,11,2022-08-15,TARGET_3,4297.14013671875,-6.692580372727055,28758.95573786156,,,,3758.955737861561
22,12,2022-08-16,ENTRY,4305.2001953125,4.355198167187438,18750.0,4305.2001953125,4210.42345223302,"[4476.155326059425, 4561.632891432887, 4647.11045680635]",0.0
23,12,2022-08-22,STOP,4137.990234375,-4.355198167187438,18021.767484589516,,,,-728.2325154104831
24,13,2022-08-23,ENTRY,4128.72998046875,4.541348087353303,18750.0,4128.72998046875,4037.838137383383,"[4276.660113338613, 4350.625179773545, 4424.590246208477]",0.0
25,13,2022-08-29,STOP,4030.610107421875,-4.541348087353303,18304.403502207224,,,,-445.59649779277476
26,14,2022-08-30,ENTRY,3986.159912109375,4.703775165426811,18750.0,3986.159912109375,3898.406674925409,"[4113.517398122696, 4177.196141129356, 4240.8748841360175]",0.0
27,14,2022-09-16,STOP,3873.330078125,-4.703775165426811,18219.273828985064,,,,-530.7261710149331
28,15,2022-09-19,ENTRY,3899.889892578125,4.807828045525874,18750.0,3899.889892578125,3814.6260819714635,"[3985.153703184787, 4027.7856084881178, 4070.417513791448]",0.0
29,15,2022-09-21,STOP,3789.929931640625,-4.807828045525874,18221.331415919758,,,,-528.6685840802421
30,16,2022-09-22,ENTRY,3757.989990234375,4.989369330073872,18750.0,3757.989990234375,3684.576104030886,"[3831.403876437864, 3868.1108195396087, 3904.8177626413526]",0.0
31,16,2022-09-26,STOP,3655.0400390625,-4.989369330073872,18236.344671090446,,,,-513.6553289095558
32,17,2022-09-27,ENTRY,3647.2900390625,5.140803116611889,18750.0,3647.2900390625,3584.528591633257,"[3710.0514864917436, 3741.4322102063657, 3772.812933920987]",0.0
33,17,2022-10-04,TARGET_3,3790.929931640625,-5.140803116611889,19488.42440743542,,,,738.4244074354219
34,18,2022-10-05,ENTRY,3783.280029296875,4.956016962742432,18750.0,3783.280029296875,3735.7913401013266,"[3830.7687184924234, 3854.5130630901976, 3878.2574076879723]",0.0
35,18,2022-10-07,STOP,3639.659912109375,-4.956016962742432,18038.216263027694,,,,-711.783736972306
36,19,2022-10-10,ENTRY,3612.389892578125,5.190469621931735,18750.0,3612.389892578125,3575.4548914168427,"[3649.324893739408, 3667.792394320048, 3686.2598949006892]",0.0
37,19,2022-10-18,TARGET_3,3719.97998046875,-5.190469621931735,19308.443082817255,,,,558.4430828172544
38,20,2022-10-19,ENTRY,3695.159912109375,5.074205297192835,18750.0,3695.159912109375,3677.448319521346,"[3712.8715046974035, 3721.7273009914184, 3730.583097285433]",0.0
39,20,2022-10-20,STOP,3665.780029296875,-5.074205297192835,18600.92044300191,,,,-149.07955699809222
40,21,2022-10-21,ENTRY,3752.75,4.996336020251816,18750.0,3752.75,3740.585934526096,"[3764.914065473904, 3770.9960982108564, 3777.078130947808]",0.0
41,21,2022-10-24,TARGET_3,3797.340087890625,-4.996336020251816,18972.787062274125,,,,222.787062274124
42,22,2022-10-25,ENTRY,3859.110107421875,4.858633072930423,18750.0,3859.110107421875,3852.589907284816,"[3865.630307558934, 3868.890407627463, 3872.150507695993]",0.0
43,22,2022-10-26,STOP,3830.60009765625,-4.858633072930423,18611.480323643165,,,,-138.51967635683496
44,23,2022-10-27,ENTRY,3807.300048828125,4.9247497595497345,18750.0,3807.300048828125,3806.7756035868,"[3807.8244940694503, 3808.086716690112, 3808.3489393107743]",0.0
45,23,2022-10-28,TARGET_3,3901.06005859375,-4.9247497595497345,19211.744585548644,,,,461.7445855486425
46,24,2022-10-31,ENTRY,3871.97998046875,4.842483714941648,18750.0,3871.97998046875,3866.504745354586,"[3877.4552155829147, 3880.1928331399963, 3882.9304506970784]",0.0
47,24,2022-11-01,STOP,3856.10009765625,-4.842483714941648,18673.101926085288,,,,-76.89807391471302
